audio_id,filename,class_label,source,source_url,licence,author,date_fetched,duration_sec,sampling_rate,channels,recording_environment,recording_device,approximate_distance,original_or_augmented,parent_audio_id,segment_start_sec,segment_end_sec,sha256,dataset_split,freesound_id,fsd50k_split,fsd50k_labels,licence_url,environment_basis,fetch_batch
SS-AGG-0001,originals/aggression/SS-AGG-0001.wav,Aggression,FSD50K (Freesound clip 234034),https://freesound.org/s/234034/,CC-BY-3.0,11linda,2026-09-23,9.906,44100,1,unspecified,unspecified,n/a,original,,,,c1d006f9728aec7e99175bd6254d2d2b81a5cd4f889031e4a2c303da39985ddf,train,234034,dev,"Female_speech_and_woman_speaking,Shout,Speech,Human_voice",http://creativecommons.org/licenses/by/3.0/,unmatched,fsd50k_real_v1
SS-AGG-0002,originals/aggression/SS-AGG-0002.wav,Aggression,FSD50K (Freesound clip 378918),https://freesound.org/s/378918/,CC0-1.0,13FPanska_Cerny_Jan,2026-09-23,1.704,44100,1,unspecified,unspecified,n/a,original,,,,67016da959cc1ae2fdf9a69a2102a3ade1f293236f0d4da6b8e58261097675b1,train,378918,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0003,originals/aggression/SS-AGG-0003.wav,Aggression,FSD50K (Freesound clip 78483),https://freesound.org/s/78483/,CC0-1.0,1sticky8,2026-09-23,5.642,44100,1,indoor,unspecified,n/a,original,,,,513bdd9a8f465cbaebdbb00ff38b59401bcebb53ddaf5ddd2647a852ab421a5d,train,78483,eval,"Walk_and_footsteps,Mechanisms,Thump_and_thud,Bicycle,Vehicle",http://creativecommons.org/publicdomain/zero/1.0/,stated,fsd50k_real_v1
SS-AGG-0004,originals/aggression/SS-AGG-0004.wav,Aggression,FSD50K (Freesound clip 164561),https://freesound.org/s/164561/,CC0-1.0,Adam_N,2026-09-23,0.924,44100,1,unspecified,unspecified,n/a,original,,,,3226625eaf835745408610a516d29bc399c9b3cd467ca6442e2731628daf5049,train,164561,dev,Thump_and_thud,http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0005,originals/aggression/SS-AGG-0005.wav,Aggression,FSD50K (Freesound clip 191950),https://freesound.org/s/191950/,CC0-1.0,Aiyumi,2026-09-23,6.67,44100,1,unspecified,unspecified,n/a,original,,,,c94a518c90bfc778cd78ed5e6eb28bad63470d34102651ba9bdcc3cf1eb87a67,train,191950,dev,"Sliding_door,Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0006,originals/aggression/SS-AGG-0006.wav,Aggression,FSD50K (Freesound clip 96134),https://freesound.org/s/96134/,CC0-1.0,BMacZero,2026-09-23,0.313,44100,1,unspecified,unspecified,n/a,original,,,,88b21fe17c2e6f2d687dbb12c7ba9201ac822203cf0191c9fc81e2e52c3ce72f,train,96134,eval,Thump_and_thud,http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0007,originals/aggression/SS-AGG-0007.wav,Aggression,FSD50K (Freesound clip 78324),https://freesound.org/s/78324/,CC-BY-3.0,Benboncan,2026-09-23,18.646,44100,1,unspecified,unspecified,n/a,original,,,,3c1fdcadeea0ba261032264183ef85a0268a2eea153f6552135ba0f49c719eae,train,78324,dev,"Growling,Dog,Domestic_animals_and_pets,Animal",http://creativecommons.org/licenses/by/3.0/,unmatched,fsd50k_real_v1
SS-AGG-0008,originals/aggression/SS-AGG-0008.wav,Aggression,FSD50K (Freesound clip 191851),https://freesound.org/s/191851/,CC-BY-3.0,BiblicalBricksProductions,2026-09-23,6.607,44100,1,indoor,unspecified,n/a,original,,,,424b0950f17f771030da4f12ce8bc872466b9d2b5fd91bebc745247501f76689,train,191851,eval,"Walk_and_footsteps,Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/licenses/by/3.0/,stated,fsd50k_real_v1
SS-AGG-0009,originals/aggression/SS-AGG-0009.wav,Aggression,FSD50K (Freesound clip 344149),https://freesound.org/s/344149/,CC0-1.0,Brokenphono,2026-09-23,0.749,44100,1,studio,unspecified,n/a,original,,,,074bfca020a187a90fdcfbfe2645c11d572917cad0ce1c71289086b94b31773a,train,344149,eval,Thump_and_thud,http://creativecommons.org/publicdomain/zero/1.0/,inferred_from_tags,fsd50k_real_v1
SS-AGG-0010,originals/aggression/SS-AGG-0010.wav,Aggression,FSD50K (Freesound clip 93959),https://freesound.org/s/93959/,CC-BY-3.0,CGEffex,2026-09-23,22.524,44100,1,unspecified,unspecified,n/a,original,,,,cc86008fd7e72815d3f971834f83a710393bb60849d77ff600ecae7ec6700ba7,train,93959,dev,Thump_and_thud,http://creativecommons.org/licenses/by/3.0/,unmatched,fsd50k_real_v1
SS-AGG-0011,originals/aggression/SS-AGG-0011.wav,Aggression,FSD50K (Freesound clip 365478),https://freesound.org/s/365478/,CC0-1.0,Caitlin_100,2026-09-23,4.362,44100,1,unspecified,unspecified,n/a,original,,,,f36397f3fc076b6387989c19f33b629bcec274d5de0237de99a0468fe17ce6af,train,365478,dev,"Slam,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
SS-AGG-0012,originals/aggression/SS-AGG-0012.wav,Aggression,FSD50K (Freesound clip 216872),https://freesound.org/s/216872/,CC0-1.0,CastIronCarousel,2026-09-23,0.532,44100,1,studio,unspecified,n/a,original,,,,067d62693b87b0b14541b396155493e5b60763284c8a757f971a4079cb5a921d,train,216872,dev,"Slam,Wood,Door,Domestic_sounds_and_home_sounds",http://creativecommons.org/publicdomain/zero/1.0/,stated,fsd50k_real_v1
SS-AGG-0013,originals/aggression/SS-AGG-0013.wav,Aggression,FSD50K (Freesound clip 267916),https://freesound.org/s/267916/,CC0-1.0,ChemiCatz,2026-09-23,2.646,44100,1,unspecified,unspecified,n/a,original,,,,ef8ec45b98658ed65513df4558d3668f2d053654fcade21f65db25c86408b437,train,267916,dev,Thump_and_thud,http://creativecommons.org/publicdomain/zero/1.0/,unmatched,fsd50k_real_v1
